Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Long,18,23576.00,23605.25,7/21/2025 9:45:00 AM,7/21/2025 9:47:00 AM,Buy,Sell,$1021.68,$1021.68,$31.32,$0.00,$0.00,$0.00,$0.00,$225.00,$1152.00,$130.32,3,
2,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Short,18,23362.00,23369.50,7/22/2025 10:02:00 AM,7/22/2025 10:02:00 AM,Sell short,Stop loss,($301.32),$720.36,$31.32,$0.00,$0.00,$0.00,$0.00,$270.00,$0.00,$301.32,1,
3,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Long,18,23401.50,23399.00,7/22/2025 10:09:00 AM,7/22/2025 10:10:00 AM,Buy,Sell,($121.32),$599.04,$31.32,$0.00,$0.00,$0.00,$0.00,$180.00,$351.00,$472.32,2,
4,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Long,18,23409.75,23433.25,7/22/2025 10:14:00 AM,7/22/2025 10:17:00 AM,Buy,Sell,$814.68,$1413.72,$31.32,$0.00,$0.00,$0.00,$0.00,$54.00,$846.00,$31.32,4,
5,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Long,18,23453.25,23445.75,8/4/2025 9:50:00 AM,8/4/2025 9:52:00 AM,Buy,Stop loss,($301.32),$1112.40,$31.32,$0.00,$0.00,$0.00,$0.00,$270.00,$207.00,$508.32,3,
6,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Long,18,23451.50,23463.25,8/4/2025 9:55:00 AM,8/4/2025 9:56:00 AM,Buy,Sell,$391.68,$1504.08,$31.32,$0.00,$0.00,$0.00,$0.00,$0.00,$549.00,$157.32,2,
7,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Short,18,23346.25,23341.00,8/20/2025 10:16:00 AM,8/20/2025 10:17:00 AM,Sell short,Buy to cover,$157.68,$1661.76,$31.32,$0.00,$0.00,$0.00,$0.00,$81.00,$405.00,$247.32,2,
8,MNQ DEC25,Backtest,FluxTradeProp_Centauri,Long,18,23723.75,23758.00,8/22/2025 10:06:00 AM,8/22/2025 10:07:00 AM,Buy,Sell,$1201.68,$2863.44,$31.32,$0.00,$0.00,$0.00,$0.00,$126.00,$1395.00,$193.32,2,
