Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTradeProp_EMACross,Short,30,25070.75,25045.75,11/25/2025 10:01:00 AM,11/25/2025 10:01:00 AM,EMA_Short,Profit target,$1443.00,$1443.00,$57.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1500.00,$57.00,1,
2,MNQ MAR26,Backtest,FluxTradeProp_EMACross,Short,30,25791.25,25766.25,12/11/2025 10:11:00 AM,12/11/2025 10:12:00 AM,EMA_Short,Profit target,$1443.00,$2886.00,$57.00,$0.00,$0.00,$0.00,$0.00,$300.00,$1500.00,$57.00,2,
3,MNQ MAR26,Backtest,FluxTradeProp_EMACross,Short,30,25797.00,25806.00,12/11/2025 10:13:00 AM,12/11/2025 10:13:00 AM,EMA_Short,Stop loss,($597.00),$2289.00,$57.00,$0.00,$0.00,$0.00,$0.00,$540.00,$0.00,$597.00,1,
4,MNQ MAR26,Backtest,FluxTradeProp_EMACross,Short,30,25814.00,25789.00,12/11/2025 10:14:00 AM,12/11/2025 10:17:00 AM,EMA_Short,Profit target,$1443.00,$3732.00,$57.00,$0.00,$0.00,$0.00,$0.00,$390.00,$1500.00,$57.00,4,
5,MNQ MAR26,Backtest,FluxTradeProp_EMACross,Short,30,25325.75,25300.75,1/19/2026 10:29:00 AM,1/19/2026 10:39:00 AM,EMA_Short,Profit target,$1443.00,$5175.00,$57.00,$0.00,$0.00,$0.00,$0.00,$525.00,$1500.00,$57.00,11,
