Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
6/2/2025,1,$275.00,$275.00,$275.00,$0.00,$0.00,$0.00,$0.00,100.00%,$275.00,$275.00,$0.00,$275.00,$0.00,0.00,$0.00,$275.00,$0.00,25.00%,
6/3/2025,1,$550.00,$275.00,$275.00,$0.00,$0.00,$0.00,$0.00,100.00%,$275.00,$275.00,$0.00,$275.00,$0.00,0.00,$0.00,$275.00,$0.00,25.00%,
6/23/2025,1,$825.00,$275.00,$275.00,$0.00,$0.00,$0.00,$0.00,100.00%,$275.00,$275.00,$0.00,$275.00,$0.00,0.00,$0.00,$275.00,$0.00,25.00%,
7/3/2025,1,$1100.00,$275.00,$275.00,$0.00,$0.00,$0.00,$0.00,100.00%,$275.00,$275.00,$0.00,$275.00,$0.00,0.00,$0.00,$275.00,$0.00,25.00%,
