Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
6/24/2025,1,$1000.00,$1000.00,$1000.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1000.00,$1000.00,$0.00,$1000.00,$0.00,16.00,$70.00,$1000.00,$0.00,14.29%,
7/9/2025,1,$2000.00,$1000.00,$1000.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1000.00,$1000.00,$0.00,$1000.00,$0.00,2.00,$0.00,$1000.00,$0.00,14.29%,
7/24/2025,1,$1750.00,($250.00),$0.00,($250.00),$0.00,($250.00),($250.00),0.00%,($250.00),$0.00,($250.00),$0.00,($250.00),0.00,$250.00,$0.00,$250.00,14.29%,
8/7/2025,1,$2750.00,$1000.00,$1000.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1000.00,$1000.00,$0.00,$1000.00,$0.00,4.00,$180.00,$1000.00,$0.00,14.29%,
9/2/2025,1,$3750.00,$1000.00,$1000.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1000.00,$1000.00,$0.00,$1000.00,$0.00,5.00,$210.00,$1000.00,$0.00,14.29%,
9/9/2025,2,$4500.00,$750.00,$1000.00,($250.00),$0.00,($250.00),($250.00),50.00%,$375.00,$1000.00,($250.00),$1000.00,($250.00),33.00,$235.00,$705.00,$330.00,28.57%,
