Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_TrendCatcher,Long,20,24890.50,24913.00,11/24/2025 09:34:00 AM,11/24/2025 09:34:00 AM,LongEntry,Profit target,$862.00,$862.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$900.00,$38.00,1,
2,MNQ MAR26,Backtest,FluxTrade_TrendCatcher,Long,20,25985.75,26008.25,12/5/2025 09:32:00 AM,12/5/2025 09:32:00 AM,LongEntry,Profit target,$862.00,$1724.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$900.00,$38.00,1,
3,MNQ MAR26,Backtest,FluxTrade_TrendCatcher,Long,20,25510.50,25533.00,12/19/2025 09:45:00 AM,12/19/2025 09:45:00 AM,LongEntry,Profit target,$862.00,$2586.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$900.00,$38.00,1,
4,MNQ MAR26,Backtest,FluxTrade_TrendCatcher,Long,20,25905.00,25912.25,1/12/2026 09:52:00 AM,1/12/2026 09:53:00 AM,LongEntry,Sell,$252.00,$2838.00,$38.00,$0.00,$0.00,$0.00,$0.00,$230.00,$790.00,$538.00,2,
5,MNQ MAR26,Backtest,FluxTrade_TrendCatcher,Long,20,25817.50,25810.00,1/26/2026 09:43:00 AM,1/26/2026 09:43:00 AM,LongEntry,Stop loss,($338.00),$2500.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$338.00,1,
6,MNQ MAR26,Backtest,FluxTrade_TrendCatcher,Long,20,25701.50,25715.25,2/2/2026 09:38:00 AM,2/2/2026 09:39:00 AM,LongEntry,Sell,$512.00,$3012.00,$38.00,$0.00,$0.00,$0.00,$0.00,$120.00,$780.00,$268.00,2,
