Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
22,MES SEP25,Backtest,CointegratedPairs,Short,7,6135.50,6141.75,2/12/2025 10:00:00 AM,2/12/2025 10:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),($1046.71),$12.18,$218.75,$0.00,$230.93,1,
23,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22427.00,22420.75,2/20/2025 11:00:00 AM,2/20/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),($1146.39),$12.18,$87.50,$0.00,$99.68,1,
24,MES SEP25,Backtest,CointegratedPairs,Short,7,6221.25,6227.50,2/20/2025 11:00:00 AM,2/20/2025 11:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),($1377.32),$12.18,$218.75,$0.00,$230.93,1,
25,MES SEP25,Backtest,CointegratedPairs,Short,7,6210.50,6216.75,2/20/2025 12:00:00 PM,2/20/2025 12:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),($1608.25),$12.18,$218.75,$0.00,$230.93,1,
26,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22405.25,22517.75,2/20/2025 12:00:00 PM,2/20/2025 3:00:00 PM,MNQ SEP25 Initial,Profit target,$1562.82,($45.43),$12.18,$84.00,$1575.00,$12.18,4,
27,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22268.50,22262.25,2/21/2025 2:00:00 PM,2/21/2025 2:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($145.11),$12.18,$87.50,$0.00,$99.68,1,
28,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22188.50,22182.25,2/21/2025 3:00:00 PM,2/21/2025 3:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($244.79),$12.18,$87.50,$0.00,$99.68,1,
29,MES SEP25,Backtest,CointegratedPairs,Short,7,6172.75,6151.75,2/21/2025 2:00:00 PM,2/21/2025 3:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$722.82,$478.03,$12.18,$8.75,$805.00,$82.18,2,
30,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21424.25,21418.00,2/27/2025 11:00:00 AM,2/27/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$378.35,$12.18,$87.50,$0.00,$99.68,1,
31,MES SEP25,Backtest,CointegratedPairs,Short,7,6055.25,6061.50,2/27/2025 11:00:00 AM,2/27/2025 11:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),$147.42,$12.18,$218.75,$0.00,$230.93,1,
