Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,ElliottWave,Short,10,23148.75,23155.00,7/15/2025 1:40:00 AM,7/15/2025 1:51:00 AM,WaveCEntry,Stop loss,($1250.00),($1250.00),$0.00,$1250.00,$1150.00,$2400.00,12,
2,NQ SEP25,Backtest,ElliottWave,Short,10,23075.75,23063.25,7/16/2025 8:55:00 AM,7/16/2025 9:04:00 AM,WaveCEntry,Profit target,$2500.00,$1250.00,$0.00,$300.00,$2500.00,$0.00,10,
3,NQ SEP25,Backtest,ElliottWave,Short,10,23349.25,23336.75,7/21/2025 8:40:00 PM,7/21/2025 9:04:00 PM,WaveCEntry,Profit target,$2500.00,$3750.00,$0.00,$450.00,$2500.00,$0.00,25,
4,NQ SEP25,Backtest,ElliottWave,Short,10,23445.25,23451.50,7/25/2025 3:00:00 PM,7/25/2025 3:12:00 PM,WaveCEntry,Stop loss,($1250.00),$2500.00,$0.00,$1250.00,$1400.00,$2650.00,13,
5,NQ SEP25,Backtest,ElliottWave,Short,10,23828.50,23816.00,7/31/2025 3:59:00 AM,7/31/2025 4:04:00 AM,WaveCEntry,Profit target,$2500.00,$5000.00,$0.00,$50.00,$2500.00,$0.00,6,
6,NQ SEP25,Backtest,ElliottWave,Short,10,23763.25,23750.75,8/18/2025 10:44:00 AM,8/18/2025 10:46:00 AM,WaveCEntry,Profit target,$2500.00,$7500.00,$0.00,$1050.00,$2500.00,$0.00,3,
