Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP25,Backtest,RileySR,Long,4,21969.00,22219.00,1/6/2025 1:47:00 AM,1/6/2025 9:41:00 AM,Long Entry,Profit target,$2000.00,$2000.00,$0.00,$106.00,$2000.00,$0.00,475,
2,MNQ SEP25,Backtest,RileySR,Long,4,22584.75,22619.00,2/14/2025 2:56:00 PM,2/14/2025 5:00:00 PM,Long Entry,Exit on session close,$274.00,$2274.00,$0.00,$78.00,$442.00,$168.00,125,
3,MNQ SEP25,Backtest,RileySR,Long,4,20014.75,20014.75,3/12/2025 8:31:00 AM,3/12/2025 9:57:00 AM,Long Entry,Stop loss,$0.00,$2274.00,$0.00,$88.00,$1520.00,$1520.00,87,
4,MNQ SEP25,Backtest,RileySR,Long,4,20138.00,20138.00,3/17/2025 9:33:00 AM,3/17/2025 10:30:00 AM,Long Entry,Stop loss,$0.00,$2274.00,$0.00,$38.00,$1052.00,$1052.00,58,
5,MNQ SEP25,Backtest,RileySR,Long,4,19984.00,19959.00,3/18/2025 9:40:00 PM,3/19/2025 12:07:00 AM,Long Entry,Stop loss,($200.00),$2074.00,$0.00,$200.00,$68.00,$268.00,148,
6,MNQ SEP25,Backtest,RileySR,Long,4,17962.25,17962.25,4/4/2025 12:37:00 PM,4/4/2025 12:45:00 PM,Long Entry,Stop loss,$0.00,$2074.00,$0.00,$20.00,$758.00,$758.00,9,
7,MNQ SEP25,Backtest,RileySR,Long,4,21060.00,21310.00,5/13/2025 3:08:00 AM,5/13/2025 9:53:00 AM,Long Entry,Profit target,$2000.00,$4074.00,$0.00,$184.00,$2000.00,$0.00,406,
8,MNQ SEP25,Backtest,RileySR,Long,4,22860.00,22835.00,7/3/2025 8:00:00 AM,7/3/2025 8:31:00 AM,Long Entry,Stop loss,($200.00),$3874.00,$0.00,$200.00,$158.00,$358.00,32,
