Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_FVG,Short,20,25560.25,25559.50,11/27/2025 01:59:00 AM,11/27/2025 02:02:00 AM,Short_FVG,Stop loss,($8.00),($8.00),$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$280.00,$288.00,4,
2,MNQ MAR26,Backtest,FluxTrade_FVG,Long,20,25963.25,25972.75,12/8/2025 06:49:00 PM,12/8/2025 06:53:00 PM,Long_FVG,Profit target,$342.00,$334.00,$38.00,$0.00,$0.00,$0.00,$0.00,$160.00,$380.00,$38.00,5,
3,MNQ MAR26,Backtest,FluxTrade_FVG,Long,20,25770.25,25794.00,1/8/2026 02:25:00 AM,1/8/2026 02:25:00 AM,Long_FVG,Profit target,$912.00,$1246.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$950.00,$38.00,1,
4,MNQ MAR26,Backtest,FluxTrade_FVG,Short,20,25932.75,25932.25,1/9/2026 04:01:00 PM,1/9/2026 04:53:00 PM,Short_FVG,Stop loss,($18.00),$1228.00,$38.00,$0.00,$0.00,$0.00,$0.00,$430.00,$370.00,$388.00,53,
5,MNQ MAR26,Backtest,FluxTrade_FVG,Long,20,25395.75,25420.75,1/19/2026 08:15:00 PM,1/19/2026 08:27:00 PM,Long_FVG,Profit target,$962.00,$2190.00,$38.00,$0.00,$0.00,$0.00,$0.00,$340.00,$1000.00,$38.00,13,
