Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,22128.25,22153.25,6/11/2025 7:40:00 AM,6/11/2025 7:56:00 AM,LongPB,Profit target,$1500.00,$1500.00,$0.00,$255.00,$1500.00,$0.00,17,
2,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,22681.75,22674.25,7/1/2025 11:31:00 AM,7/1/2025 11:37:00 AM,LongPB,Stop loss,($450.00),$1050.00,$0.00,$450.00,$780.00,$1230.00,7,
3,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,22862.75,22887.75,7/3/2025 2:05:00 AM,7/3/2025 2:45:00 AM,LongPB,Profit target,$1500.00,$2550.00,$0.00,$45.00,$1500.00,$0.00,41,
4,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,23024.75,23049.75,7/10/2025 6:01:00 AM,7/10/2025 6:53:00 AM,LongPB,Profit target,$1500.00,$4050.00,$0.00,$195.00,$1500.00,$0.00,53,
5,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,23090.75,23115.75,7/17/2025 8:34:00 AM,7/17/2025 8:41:00 AM,LongPB,Profit target,$1500.00,$5550.00,$0.00,$45.00,$1500.00,$0.00,8,
6,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,23346.75,23343.00,7/21/2025 9:18:00 PM,7/21/2025 9:19:00 PM,LongPB,BandExit,($225.00),$5325.00,$0.00,$300.00,$75.00,$300.00,2,
7,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,23463.50,23488.50,8/26/2025 8:31:00 AM,8/26/2025 9:31:00 AM,LongPB,Profit target,$1500.00,$6825.00,$0.00,$165.00,$1500.00,$0.00,61,
8,NQ SEP25,Backtest,FluxTrade_KeltnerStrat,Long,3,23424.00,23423.00,9/2/2025 2:13:00 AM,9/2/2025 2:15:00 AM,LongPB,BandExit,($60.00),$6765.00,$0.00,$60.00,$150.00,$210.00,3,
