Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP25,Backtest,FluxTrident,Long,50,21772.00,21763.25,1/3/2025 9:35:00 AM,1/3/2025 9:35:00 AM,Trident Long,Stop loss,($875.00),($875.00),$0.00,$875.00,$0.00,$875.00,1,
2,MNQ SEP25,Backtest,FluxTrident,Long,50,22146.75,22158.00,1/20/2025 9:34:00 AM,1/20/2025 9:36:00 AM,Trident Long,Profit target,$1125.00,$250.00,$0.00,$575.00,$1125.00,$0.00,3,
3,MNQ SEP25,Backtest,FluxTrident,Long,50,21849.25,21860.50,1/28/2025 10:25:00 AM,1/28/2025 10:27:00 AM,Trident Long,Profit target,$1125.00,$1375.00,$0.00,$725.00,$1125.00,$0.00,3,
4,MNQ SEP25,Backtest,FluxTrident,Long,50,21873.75,21885.00,1/28/2025 10:28:00 AM,1/28/2025 10:28:00 AM,Trident Long,Profit target,$1125.00,$2500.00,$0.00,$0.00,$1125.00,$0.00,1,
5,MNQ SEP25,Backtest,FluxTrident,Long,50,22107.25,22118.50,2/5/2025 11:52:00 AM,2/5/2025 11:52:00 AM,Trident Long,Profit target,$1125.00,$3625.00,$0.00,$0.00,$1125.00,$0.00,1,
6,MNQ SEP25,Backtest,FluxTrident,Long,50,22113.75,22125.00,2/5/2025 11:53:00 AM,2/5/2025 11:54:00 AM,Trident Long,Profit target,$1125.00,$4750.00,$0.00,$125.00,$1125.00,$0.00,2,
7,MNQ SEP25,Backtest,FluxTrident,Long,50,21408.00,21399.25,2/27/2025 10:07:00 AM,2/27/2025 10:07:00 AM,Trident Long,Stop loss,($875.00),$3875.00,$0.00,$875.00,$0.00,$875.00,1,
8,MNQ SEP25,Backtest,FluxTrident,Short,50,20687.75,20676.50,3/5/2025 11:13:00 AM,3/5/2025 11:13:00 AM,Trident Short,Profit target,$1125.00,$5000.00,$0.00,$0.00,$1125.00,$0.00,1,
9,MNQ SEP25,Backtest,FluxTrident,Short,50,20690.00,20678.75,3/5/2025 11:14:00 AM,3/5/2025 11:14:00 AM,Trident Short,Profit target,$1125.00,$6125.00,$0.00,$0.00,$1125.00,$0.00,1,
