Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,ProjectGamma,Long,5,23075.00,23101.75,7/3/2025 11:37:00 AM,7/3/2025 11:42:00 AM,Long Entry,Profit target,$2675.00,$2675.00,$0.00,$50.00,$2675.00,$0.00,6,
2,NQ SEP25,Backtest,ProjectGamma,Long,5,22988.25,23015.75,7/14/2025 10:57:00 AM,7/14/2025 11:05:00 AM,Long Entry,Profit target,$2750.00,$5425.00,$0.00,$1325.00,$2750.00,$0.00,9,
3,NQ SEP25,Backtest,ProjectGamma,Long,5,23208.75,23236.25,7/18/2025 11:11:00 AM,7/18/2025 11:38:00 AM,Long Entry,Profit target,$2750.00,$8175.00,$0.00,$975.00,$2750.00,$0.00,28,
4,NQ SEP25,Backtest,ProjectGamma,Long,5,23414.25,23440.75,7/25/2025 11:42:00 AM,7/25/2025 12:14:00 PM,Long Entry,Profit target,$2650.00,$10825.00,$0.00,$1175.00,$2650.00,$0.00,33,
5,NQ SEP25,Backtest,ProjectGamma,Long,5,23346.75,23374.50,8/6/2025 11:50:00 AM,8/6/2025 11:53:00 AM,Long Entry,Profit target,$2775.00,$13600.00,$0.00,$275.00,$2775.00,$0.00,4,
6,NQ SEP25,Backtest,ProjectGamma,Long,5,23757.00,23784.00,8/11/2025 11:56:00 AM,8/11/2025 12:09:00 PM,Long Entry,Profit target,$2700.00,$16300.00,$0.00,$225.00,$2700.00,$0.00,14,
7,NQ SEP25,Backtest,ProjectGamma,Long,5,23801.00,23829.00,8/12/2025 11:07:00 AM,8/12/2025 11:11:00 AM,Long Entry,Profit target,$2800.00,$19100.00,$0.00,$275.00,$2800.00,$0.00,5,
8,NQ SEP25,Backtest,ProjectGamma,Long,5,23954.50,23982.75,8/14/2025 10:30:00 AM,8/14/2025 10:40:00 AM,Long Entry,Profit target,$2825.00,$21925.00,$0.00,$600.00,$2825.00,$0.00,11,
