Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,22115.50,22129.50,1/20/2025 9:23:00 AM,1/20/2025 9:27:00 AM,Flip Long,Sell,$1120.00,$1120.00,$0.00,$360.00,$1220.00,$100.00,5,
2,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,22368.75,22386.25,1/22/2025 9:33:00 AM,1/22/2025 9:33:00 AM,Flip Long,Profit target,$1400.00,$2520.00,$0.00,$0.00,$1400.00,$0.00,1,
3,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,22079.75,22097.25,2/12/2025 10:20:00 AM,2/12/2025 10:21:00 AM,Flip Long,Profit target,$1400.00,$3920.00,$0.00,$180.00,$1400.00,$0.00,2,
4,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,19912.75,19930.25,3/14/2025 9:33:00 AM,3/14/2025 9:33:00 AM,Flip Long,Profit target,$1400.00,$5320.00,$0.00,$0.00,$1400.00,$0.00,1,
5,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,20048.75,20066.25,3/19/2025 11:08:00 AM,3/19/2025 11:10:00 AM,Flip Long,Profit target,$1400.00,$6720.00,$0.00,$200.00,$1400.00,$0.00,3,
6,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,20045.75,20063.25,3/20/2025 9:34:00 AM,3/20/2025 9:34:00 AM,Flip Long,Profit target,$1400.00,$8120.00,$0.00,$0.00,$1400.00,$0.00,1,
7,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,19904.50,19922.00,3/21/2025 9:32:00 AM,3/21/2025 9:32:00 AM,Flip Long,Profit target,$1400.00,$9520.00,$0.00,$0.00,$1400.00,$0.00,1,
8,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,21163.25,21180.75,5/23/2025 10:25:00 AM,5/23/2025 10:25:00 AM,Flip Long,Profit target,$1400.00,$10920.00,$0.00,$0.00,$1400.00,$0.00,1,
9,MNQ SEP25,Backtest,FluxPivotStrat,Long,40,22933.25,22933.25,7/4/2025 11:32:00 AM,7/4/2025 11:36:00 AM,Flip Long,Stop loss,$0.00,$10920.00,$0.00,$360.00,$220.00,$220.00,5,
